Head,Name,Manufacturer,Model,Mode,Universe,Address,X Pos(MagicQ),Y Pos(MagicQ),Z Pos(MagicQ),X Rot(MagicQ),Y Rot(MagicQ),Z Rot(MagicQ),X Pos(Unity),Y Pos(Unity),Z Pos(Unity),X Rot(Unity),Y Rot(Unity),Z Rot(Unity)
1,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.01m,8.74m,1.34m,-90°,180°,0°,0.01,8.743,-1.344,0,0,0
2,ParLight_ver12_WithLight,Generic Dimmer,Generic Dimmer,1ch,0,1,-6.9m,8.74m,1.34m,-179.98°,90°,0°,-6.895,8.743,-1.344,270.02,270,0
54,ParLight_ver12_WithLight_1,Generic Dimmer,Generic Dimmer,1ch,0,1,-5.44m,8.74m,1.34m,-179.98°,90°,0°,-5.436,8.743,-1.344,270.02,270,0
106,ParLight_ver12_WithLight_2,Generic Dimmer,Generic Dimmer,1ch,0,1,-3.8m,8.74m,1.34m,-179.98°,90°,0°,-3.799,8.743,-1.344,270.02,270,0
158,ParLight_ver12_WithLight_3,Generic Dimmer,Generic Dimmer,1ch,0,1,-2.36m,8.74m,1.34m,-179.98°,90°,0°,-2.355,8.743,-1.344,270.02,270,0
210,ParLight_ver12_WithLight_4,Generic Dimmer,Generic Dimmer,1ch,0,1,-0.75m,8.74m,1.34m,-179.98°,90°,0°,-0.747,8.743,-1.344,270.02,270,0
262,ParLight_ver12_WithLight_5,Generic Dimmer,Generic Dimmer,1ch,0,1,0.75m,8.74m,1.34m,-179.98°,90°,0°,0.75,8.743,-1.344,270.02,270,0
314,ParLight_ver12_WithLight_6,Generic Dimmer,Generic Dimmer,1ch,0,1,2.34m,8.74m,1.34m,-179.98°,90°,0°,2.34,8.743,-1.344,270.02,270,0
366,ParLight_ver12_WithLight_7,Generic Dimmer,Generic Dimmer,1ch,0,1,3.83m,8.74m,1.34m,-179.98°,90°,0°,3.831,8.743,-1.344,270.02,270,0
418,ParLight_ver12_WithLight_8,Generic Dimmer,Generic Dimmer,1ch,0,1,5.43m,8.74m,1.34m,-179.98°,90°,0°,5.43,8.743,-1.344,270.02,270,0
470,ParLight_ver12_WithLight_9,Generic Dimmer,Generic Dimmer,1ch,0,1,6.91m,8.74m,1.34m,-179.98°,90°,0°,6.91,8.743,-1.344,270.02,270,0
5,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.9m,8.74m,1.34m,-179.98°,90°,0°,-6.895,8.743,-1.344,270.02,270,0
